,Date,Station,TempF_Avg,Dew PtF_Low,Humidity%_Avg,Speedmph_Avg,Pressurein_High
60,2020-03-01,KTXGRANB111,64.9,50.5,70,4.2,29.79
61,2020-03-02,KTXGRANB111,63.5,42.1,71,1.5,29.66
62,2020-03-03,KTXGRANB111,63.2,49.3,66,1.7,29.7
63,2020-03-04,KTXGRANB111,53.4,46.6,92,5.0,29.96
64,2020-03-05,KTXGRANB111,50.7,43.0,86,1.1,30.11
65,2020-03-06,KTXGRANB111,56.8,23.0,49,1.2,30.2
66,2020-03-07,KTXGRANB111,52.1,33.6,62,3.3,30.07
67,2020-03-08,KTXGRANB111,56.7,37.4,77,5.0,29.92
68,2020-03-09,KTXGRANB111,67.3,54.7,76,4.8,29.81
69,2020-03-10,KTXGRANB111,65.5,46.8,77,2.3,29.92
70,2020-03-11,KTXGRANB111,74.0,60.4,72,2.6,29.75
71,2020-03-12,KTXGRANB111,73.9,62.8,75,2.6,29.52
72,2020-03-13,KTXGRANB111,64.0,57.7,94,1.8,29.67
73,2020-03-14,KTXGRANB111,61.6,54.3,96,3.2,29.9
74,2020-03-15,KTXGRANB111,53.9,49.5,95,3.0,30.02
75,2020-03-16,KTXGRANB111,61.0,53.6,92,2.2,29.94
76,2020-03-17,KTXGRANB111,67.6,60.8,90,2.0,29.76
77,2020-03-18,KTXGRANB111,71.4,62.4,86,4.6,29.66
78,2020-03-19,KTXGRANB111,70.9,59.5,84,5.2,29.68
79,2020-03-20,KTXGRANB111,53.8,38.1,79,5.4,30.08
80,2020-03-21,KTXGRANB111,49.4,36.7,80,2.9,30.09
81,2020-03-22,KTXGRANB111,56.3,51.6,97,1.3,29.83
82,2020-03-23,KTXGRANB111,65.1,58.8,95,2.2,29.72
83,2020-03-24,KTXGRANB111,73.3,36.7,61,4.0,29.56
84,2020-03-25,KTXGRANB111,71.4,48.9,66,2.2,29.57
85,2020-03-26,KTXGRANB111,75.5,63.3,76,2.9,29.48
86,2020-03-27,KTXGRANB111,73.9,63.9,79,2.9,29.4
87,2020-03-28,KTXGRANB111,69.3,27.3,53,5.0,29.64
